Date,Location,Temp_C
1793-04-01,Chicago,7.7810000000000015
1793-05-01,Chicago,12.234000000000002
1793-06-01,Chicago,17.750999999999998
1793-07-01,Chicago,22.151
1793-08-01,Chicago,22.301
1793-09-01,Chicago,18.764
1793-10-01,Chicago,11.55
1793-11-01,Chicago,6.057
1793-12-01,Chicago,0.206
1794-01-01,Chicago,0.195
1794-02-01,Chicago,-0.09
1794-03-01,Chicago,3.931
1794-04-01,Chicago,8.027000000000001
1794-05-01,Chicago,12.991
1794-06-01,Chicago,16.402
1794-07-01,Chicago,20.652
1794-08-01,Chicago,22.36
1794-09-01,Chicago,19.115
1794-10-01,Chicago,11.661
1794-11-01,Chicago,5.675
1794-12-01,Chicago,2.664
1795-01-01,Chicago,-0.7029999999999998
1795-02-01,Chicago,0.723
1795-03-01,Chicago,3.252
1795-04-01,Chicago,7.386
1795-05-01,Chicago,11.794
1795-06-01,Chicago,17.4
1795-07-01,Chicago,21.604
1795-08-01,Chicago,21.946
1795-09-01,Chicago,18.142
1795-10-01,Chicago,11.693
1795-11-01,Chicago,5.653
1795-12-01,Chicago,1.252
1796-01-01,Chicago,-0.2949999999999999
1796-02-01,Chicago,-0.445
1796-03-01,Chicago,1.419
1796-04-01,Chicago,7.312
1796-05-01,Chicago,11.639
1796-06-01,Chicago,18.483
1796-07-01,Chicago,21.861
1796-08-01,Chicago,23.552
1796-09-01,Chicago,19.034
1796-10-01,Chicago,12.311
1796-11-01,Chicago,6.212999999999999
1796-12-01,Chicago,-1.993
1797-01-01,Chicago,0.4880000000000002
1797-02-01,Chicago,2.193
1797-03-01,Chicago,1.992
1797-04-01,Chicago,5.386
1797-05-01,Chicago,10.198
1797-06-01,Chicago,17.572
1797-07-01,Chicago,22.197
1797-08-01,Chicago,22.411
1797-09-01,Chicago,18.261
1797-10-01,Chicago,11.344
1797-11-01,Chicago,4.109999999999999
1797-12-01,Chicago,-0.26
1798-01-01,Chicago,-0.2429999999999999
1798-02-01,Chicago,-0.743
1798-03-01,Chicago,4.05
1798-04-01,Chicago,7.278
1798-05-01,Chicago,12.854
1798-06-01,Chicago,18.126
1798-07-01,Chicago,22.621
1798-08-01,Chicago,24.781
1798-09-01,Chicago,18.775
1798-10-01,Chicago,12.566
1798-11-01,Chicago,5.626
1798-12-01,Chicago,-0.536
1799-01-01,Chicago,-0.7209999999999999
1799-02-01,Chicago,-1.5590000000000002
1799-03-01,Chicago,1.629
1799-04-01,Chicago,7.518000000000002
1799-05-01,Chicago,11.735
1799-06-01,Chicago,18.336
1799-07-01,Chicago,22.706
1799-08-01,Chicago,22.955
1799-09-01,Chicago,18.804
1799-10-01,Chicago,12.484000000000002
1799-11-01,Chicago,6.946000000000001
1799-12-01,Chicago,0.527
1800-01-01,Chicago,-0.8629999999999999
1800-02-01,Chicago,-0.101
1800-03-01,Chicago,2.12
1800-04-01,Chicago,8.439
1800-05-01,Chicago,11.329
1800-06-01,Chicago,17.908
1800-07-01,Chicago,22.207
1800-08-01,Chicago,22.272
1800-09-01,Chicago,17.836
1800-10-01,Chicago,12.467
1800-11-01,Chicago,5.462999999999999
